open;high;low;close;volume;marketCap;timestamp
32.2629012071;32.5262482117;32.2200394525;32.3625426721;57292849.66;373455497.23;"2023-11-16T00:00:00.000Z"
32.3641296629;32.4793602461;32.2477725097;32.4105966417;58495668.26;374010027.8;"2023-11-16T03:00:00.000Z"
32.4127232974;32.5956661466;32.1623464742;32.404921732;58883700.13;373954644.83;"2023-11-16T06:00:00.000Z"
32.4021151228;32.4021151228;31.998386728;32.0939234473;60105510.25;370369084.61;"2023-11-16T09:00:00.000Z"
32.0960321048;32.0987299415;31.2813491865;31.591434037;62799130.25;364577061.1;"2023-11-16T12:00:00.000Z"
31.5904347355;31.6630162742;31.0173753047;31.1905645278;62569075.98;359954333.72;"2023-11-16T15:00:00.000Z"
31.1882689153;31.2185819574;30.1545952392;30.6527468039;62712147.82;353753955.77;"2023-11-16T18:00:00.000Z"
30.6392410974;30.7845971719;30.376773801;30.6404058897;61888508.08;353614576.14;"2023-11-16T21:00:00.000Z"
30.6395311991;31.3018212921;30.6012496439;31.1736536671;62074743.62;359775374.35;"2023-11-17T00:00:00.000Z"
31.1714800121;31.1714800121;30.886723099;30.9184256546;62022269.6;356833285.07;"2023-11-17T03:00:00.000Z"
30.9201513142;31.0483315579;30.7540714766;30.9115839861;59906189.83;356760250.39;"2023-11-17T06:00:00.000Z"
30.9131315769;31.0408693474;30.6827125418;30.7908552322;58043537.46;355370437.95;"2023-11-17T09:00:00.000Z"
30.790574047;30.9736916283;30.2618508681;30.2676926793;54250569.59;349338826.61;"2023-11-17T12:00:00.000Z"
30.2782339925;30.4840838331;29.6835841971;30.4840838331;55206439.24;351839644.69;"2023-11-17T15:00:00.000Z"
30.485090701;30.6186008697;30.326781698;30.412005561;51108354.96;351014338.09;"2023-11-17T18:00:00.000Z"
30.4085065069;30.7964063591;30.2937358592;30.6937955245;50277338.08;354270151.15;"2023-11-17T21:00:00.000Z"
30.6981564117;30.7431313709;30.3500977176;30.3865948381;49186773.77;350730382.74;"2023-11-18T00:00:00.000Z"
30.3865189505;30.3865189505;29.853249196;29.8676847405;48507444.4;344744222.84;"2023-11-18T03:00:00.000Z"
29.8668732114;29.8711607223;29.2594944778;29.7527901128;50600119.78;343424249.9;"2023-11-18T06:00:00.000Z"
29.7537458111;29.9195710174;29.6406291307;29.7376396859;50232531.88;343252465.52;"2023-11-18T09:00:00.000Z"
29.7421064891;29.7996852605;29.5037602646;29.6784234098;49418222;342575256.55;"2023-11-18T12:00:00.000Z"
29.6805013377;30.1428175848;29.6805013377;29.8147862155;48604967.16;344152516.16;"2023-11-18T15:00:00.000Z"
29.8143290089;30.0427227981;29.7814986955;29.8947183248;48061550.54;345081249.81;"2023-11-18T18:00:00.000Z"
29.8950769458;29.9208798155;29.7205958965;29.8857466631;46907802.91;344981070.25;"2023-11-18T21:00:00.000Z"
29.8870354607;29.9065379524;29.3864533503;29.6355266734;47575591.56;342098995.3;"2023-11-19T00:00:00.000Z"
29.6351808421;30.0013649015;29.606486628;29.9587734993;46394355.43;345833176.93;"2023-11-19T03:00:00.000Z"
29.9561977688;30.1828468907;29.9561977688;30.0169245462;45122915.27;346511107.06;"2023-11-19T06:00:00.000Z"
30.018520675;30.0811037283;29.7414724799;29.8076134549;44486660.61;344097672.28;"2023-11-19T09:00:00.000Z"
29.8082782373;29.9425202974;29.7245733603;29.810332291;43823813.8;344135805.9;"2023-11-19T12:00:00.000Z"
29.8106287404;30.0643467076;29.753249126;29.9982614685;42669863.99;346308134.66;"2023-11-19T15:00:00.000Z"
30.0031160515;30.5050256196;30.0025061888;30.3928018898;44543117.18;350869696.53;"2023-11-19T18:00:00.000Z"
30.3920949505;30.6669303564;30.2837247734;30.6421429595;46216825.37;353750903.85;"2023-11-19T21:00:00.000Z"
30.6405111528;30.6827133403;30.4717906045;30.6372319444;45727380.43;353697180.21;"2023-11-20T00:00:00.000Z"
30.6378474703;30.7014747222;30.5207077944;30.5431090624;45588071.64;352617121.87;"2023-11-20T03:00:00.000Z"
30.5437649779;30.8519689715;30.5244686898;30.7806850088;45058204.16;355366523.95;"2023-11-20T06:00:00.000Z"
30.7780930424;31.1068067008;30.7769118778;30.9346835577;46045644.66;357147598.54;"2023-11-20T09:00:00.000Z"
30.9397236247;31.137606845;30.6158761923;31.137606845;47561231.42;359497080.04;"2023-11-20T12:00:00.000Z"
31.1399660184;31.22636825;30.7367997755;31.220177955;50234684.67;360453788.15;"2023-11-20T15:00:00.000Z"
31.2180006504;31.2180006504;30.8196023315;31.0439834547;48718419.58;358426267.58;"2023-11-20T18:00:00.000Z"
31.0393921907;31.0393921907;30.5656960257;30.7267624088;49251913.14;354766691.38;"2023-11-20T21:00:00.000Z"
30.7179748215;31.1966292653;30.6489888731;30.6578539716;49980216.95;353977457.53;"2023-11-21T00:00:00.000Z"
30.6497323967;30.8501438882;30.6467452743;30.772465385;49967994.2;355303966.27;"2023-11-21T03:00:00.000Z"
30.7702126741;30.942269113;30.5076447431;30.6426323375;51657849.83;353811403.71;"2023-11-21T06:00:00.000Z"
30.6472440742;30.8171315031;30.5193825274;30.5193825274;49525514.68;352391557.39;"2023-11-21T09:00:00.000Z"
30.5178440618;30.5588114003;30.0976935542;30.097962211;48776399.7;347532308.1;"2023-11-21T12:00:00.000Z"
30.1024193189;30.1254677848;28.9640553286;29.0213566595;52318780.91;335101060.77;"2023-11-21T15:00:00.000Z"
29.0163298453;29.3982052069;28.4854698013;29.2507980948;56515576.75;337759271.36;"2023-11-21T18:00:00.000Z"
29.2444917945;29.3555370398;27.996907954;28.1734485238;57254476.92;325322032.82;"2023-11-21T21:00:00.000Z"
28.1664255268;28.5327453902;28.0893058167;28.5327453902;58820881.03;329473708.59;"2023-11-22T00:00:00.000Z"
28.531312846;28.5831849743;28.4223791609;28.441134439;60345377.09;328422492.02;"2023-11-22T03:00:00.000Z"
28.4430588364;28.6365454695;28.4337624141;28.5468494109;61772032.55;329648768.49;"2023-11-22T06:00:00.000Z"
28.5473502718;28.6427849636;28.2855173688;28.2884876177;64571663.04;326668435.44;"2023-11-22T09:00:00.000Z"
28.287560695;28.7444921375;28.2835803573;28.4708673755;68063476.67;328780364.12;"2023-11-22T12:00:00.000Z"
28.4704748401;28.6475498123;28.3181965285;28.5081722332;65352057.14;329214319.57;"2023-11-22T15:00:00.000Z"
28.5104143198;29.2186593045;28.5084134161;29.214325381;65202266.76;337375367.04;"2023-11-22T18:00:00.000Z"
29.2161220371;29.4766351152;29.100340996;29.1722753737;63843985.76;336892658.82;"2023-11-22T21:00:00.000Z"
29.1693825512;29.5221516141;29.1036162995;29.5157316171;61945214.62;340865022.76;"2023-11-23T00:00:00.000Z"
29.5149361251;29.5648875303;29.4097194889;29.4750986922;60199515.7;340399309.9;"2023-11-23T03:00:00.000Z"
29.4794930559;29.7621552068;29.3510210705;29.7558853387;59779378.55;343647943.37;"2023-11-23T06:00:00.000Z"
29.7583696158;29.7850261943;29.2422611832;29.3398513395;58654665.27;338846797.1;"2023-11-23T09:00:00.000Z"
29.3398138734;29.4172422583;29.2167175089;29.2677191465;53672458.78;338019486.21;"2023-11-23T12:00:00.000Z"
29.2681349751;29.3147948468;29.0296197394;29.2663220824;52214362.56;338006528.19;"2023-11-23T15:00:00.000Z"
29.2655502641;29.4169318301;29.2426028894;29.3912830808;49059411.37;339456261.39;"2023-11-23T18:00:00.000Z"